Country,Ticker,Price,1D Chg,1D %,Z-Score,1Y %,52W Range
Americas
Argentina,ARGT,94.7100,2.45,0.0266,1.05,0.1423,96.58
Brazil,EWZ,34.2000,0.17,0.0050,0.33,0.4350,34.34
Canada,EWC,52.4700,0.33,0.0063,0.61,0.2448,52.76
Mexico,EWW,68.4300,-0.28,-0.0041,-0.28,0.4126,69.68
United States,SPY,683.8900,2.36,0.0035,0.28,0.1462,689.70
Chile,ECH,38.6200,0.33,0.0086,0.63,0.5438,38.73
Colombia,GXG,37.4933,0.21,0.0057,0.45,0.6785,38.24
Peru,EPU,66.0300,1.36,0.0210,1.42,0.6012,66.11
Europe
France,EWQ,44.7900,0.35,0.0079,0.65,0.2760,45.45
Germany,EWG,40.9500,0.06,0.0015,0.12,0.2770,43.31
Greece,GREK,66.3700,-0.27,-0.0041,-0.28,0.7669,67.29
Italy,EWI,53.2900,0.29,0.0055,0.42,0.5021,54.53
Spain,EWP,52.4100,0.39,0.0075,0.59,0.6422,52.78
Switzerland,EWL,58.0700,0.13,0.0022,0.22,0.2329,58.34
United Kingdom,EWU,43.4600,0.45,0.0105,1.06,0.2619,43.72
Belgium,EWK,24.2600,0.10,0.0041,0.38,0.3049,24.49
Denmark,EDEN,111.5059,0.61,0.0055,0.41,-0.0163,122.79
Ireland,EIRL,72.8102,0.17,0.0023,0.20,0.2473,73.58
Finland,EFNL,46.3017,0.57,0.0124,1.12,0.4373,46.74
Sweden,EWD,47.7700,0.16,0.0034,0.25,0.2454,49.33
Austria,EWO,33.4900,0.04,0.0012,0.09,0.6789,33.50
Norway,ENOR,27.9842,0.38,0.0139,1.01,0.1991,29.40
Netherlands,EWN,59.1800,0.61,0.0104,0.81,0.3162,59.92
Poland,EPOL,33.6100,-0.04,-0.0012,-0.07,0.5893,35.04
Asia/Pacific
Australia,EWA,26.1300,0.20,0.0077,0.60,0.0261,27.57
China,GXC,99.3600,-0.43,-0.0043,-0.27,0.3245,107.01
Hong Kong,EWH,22.2300,0.05,0.0023,0.18,0.3336,23.14
India,PIN,25.7100,-0.27,-0.0102,-1.09,-0.0374,29.37
Japan,EWJ,82.6100,0.14,0.0017,0.13,0.1821,84.54
South Korea,EWY,93.0000,0.93,0.0101,0.59,0.7062,100.78
Taiwan,EWT,64.8500,0.22,0.0034,0.21,0.2309,67.58
Singapore,EWS,28.1500,-0.05,-0.0018,-0.14,0.2837,29.65
Vietnam,VNM,18.6900,0.04,0.0021,0.11,0.6084,19.77
New Zealand,ENZL,46.1656,0.35,0.0076,0.69,-0.0188,48.43
Indonesia,EIDO,18.8300,-0.09,-0.0048,-0.31,-0.0184,20.84
MidEast/Africa
Israel,EIS,107.2500,1.55,0.0147,1.03,0.4358,107.59
Saudi Arabia,KSA,37.0400,0.06,0.0016,0.16,-0.0688,42.55
South Africa,EZA,66.9200,0.42,0.0063,0.39,0.5008,69.38
UAE,UAE,18.8500,0.32,0.0173,1.46,0.2575,20.42
Turkey,TUR,33.8700,-0.23,-0.0067,-0.40,-0.0673,38.55
Qatar,QAT,18.9302,0.16,0.0083,1.09,0.0879,20.64
